Tag,ChemicalName,SMILES,MW (g/mol),logP,carboxyl (mmol/g),carboxylate (mmol/g),hydroxyl (mmol/g),ether (mmol/g),ester (mmol/g),epoxy (mmol/g),amide (mmol/g),cyano (mmol/g),amine (mmol/g),ammonium (mmol/g),phenyl (mmol/g),methyl (mmol/g),methylene (mmol/g),methyne (mmol/g),quat_carbon (mmol/g),vinyl (mmol/g),asetylene (mmol/g),siloxane (mmol/g)
sec butyl methacrylate,sec butyl methacrylate,*CC(*)(C)C(=O)OC(C)CC,142.19799999999998,2.0236,0.0,0.0,0.0,0.0,7.0324477137512496,0.0,0.0,0.0,0.0,0.0,0.0,21.09734314125375,14.0648954275025,7.0324477137512496,7.0324477137512496,0.0,0.0,0.0
octyl methacrylate,octyl methacrylate,*CC(*)(C)C(=O)OCCCCCCCC,198.30599999999995,3.585600000000003,0.0,0.0,0.0,0.0,5.042711768680728,0.0,0.0,0.0,0.0,0.0,0.0,10.085423537361455,40.34169414944582,0.0,5.042711768680728,0.0,0.0,0.0
hexyl methacrylate,hexyl methacrylate,*CC(*)(C)C(=O)OCCCCCC,170.25199999999995,2.805400000000001,0.0,0.0,0.0,0.0,5.873646124568289,0.0,0.0,0.0,0.0,0.0,0.0,11.747292249136578,35.241876747409734,0.0,5.873646124568289,0.0,0.0,0.0
dodecyl methacrylate,dodecyl methacrylate,*CC(*)(C)C(=O)OCCCCCCCCCCCC,254.41399999999987,5.146000000000005,0.0,0.0,0.0,0.0,3.930601303387394,0.0,0.0,0.0,0.0,0.0,0.0,7.861202606774788,47.16721564064873,0.0,3.930601303387394,0.0,0.0,0.0
phenyl methacrylate,phenyl methacrylate,*CC(*)(C)C(=O)Oc1ccccc1,162.188,2.2875000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.165684267640023,6.165684267640023,6.165684267640023,0.0,6.165684267640023,0.0,0.0,0.0
methacrylonitrile,methacrylonitrile,*CC(*)(C)C#N,67.091,1.20548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.905128854838951,0.0,0.0,0.0,14.905128854838951,14.905128854838951,0.0,14.905128854838951,0.0,0.0,0.0
acrylamide,acrylamide,*CC(*)C(N)=O,71.079,-0.2229,0.0,0.0,0.0,0.0,0.0,0.0,14.06885296641765,0.0,0.0,0.0,0.0,0.0,14.06885296641765,14.06885296641765,0.0,0.0,0.0,0.0
N-isopropylacrylamide,N-isopropylacrylamide,*CC(*)C(=O)NC(C)C,113.15999999999998,0.8163999999999998,0.0,0.0,0.0,0.0,0.0,0.0,8.837044892188054,0.0,0.0,0.0,0.0,17.674089784376108,8.837044892188054,17.674089784376108,0.0,0.0,0.0,0.0
polyethylene adipate,*OC(=O)CCCCC(=O)OCC*,*OC(=O)CCCCC(=O)OCC*,172.17999999999998,1.0651,0.0,0.0,0.0,0.0,5.807875479149728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.847252874898366,0.0,0.0,0.0,0.0,0.0
PET,*OC(=O)c1ccc(C(=O)OCC*)cc1,*OC(=O)c1ccc(C(=O)OCC*)cc1,192.17,1.4321,0.0,0.0,0.0,0.0,5.20372586772129,0.0,0.0,0.0,0.0,0.0,5.20372586772129,0.0,10.40745173544258,0.0,0.0,0.0,0.0,0.0
nylon6,*CNC(=O)CCCC*,*CNC(=O)CCCC*,113.16,0.7472999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.837044892188052,0.0,0.0,0.0,0.0,0.0,44.185224460940255,0.0,0.0,0.0,0.0,0.0
nylon4,*CNC(=O)CC*,*CNC(=O)CC*,85.10600000000001,-0.0328999999999999,0.0,0.0,0.0,0.0,0.0,0.0,11.750052875237936,0.0,0.0,0.0,0.0,0.0,35.25015862571381,0.0,0.0,0.0,0.0,0.0
nylon7,*CNC(=O)CCCCC*,*CNC(=O)CCCCC*,127.187,1.1374,0.0,0.0,0.0,0.0,0.0,0.0,7.862438771258068,0.0,0.0,0.0,0.0,0.0,47.174632627548405,0.0,0.0,0.0,0.0,0.0
nylon8,*CNC(=O)CCCCCC*,*CNC(=O)CCCCCC*,141.214,1.5275,0.0,0.0,0.0,0.0,0.0,0.0,7.081450847649666,0.0,0.0,0.0,0.0,0.0,49.57015593354767,0.0,0.0,0.0,0.0,0.0
EO,*COC*,*COC*,44.053,0.01660000000000006,0.0,0.0,0.0,22.699929630218147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.399859260436294,0.0,0.0,0.0,0.0,0.0
tetramethyleneoxide,*CCOCC*,*CCOCC*,72.107,0.9381999999999999,0.0,0.0,0.0,13.86827908524831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.47311634099324,0.0,0.0,0.0,0.0,0.0
